"id","name","side","avg_bat_speed","swing_tilt","attack_angle","attack_direction","ideal_attack_angle_rate","avg_intercept_y_vs_plate","avg_intercept_y_vs_batter","avg_batter_y_position","avg_batter_x_position","competitive_swings"
691406,"Caminero, Junior","R","79.869797447",24.301682535122858,8.174151383612385,-5.865022607422446,0.6216216216216217,9.913034576465089,37.57254596729751,27.659511390832396,29.13717722669068,666
691023,"Walker, Jordan","R","79.15609941",29.950831029158977,7.581197235531791,-5.232376703144676,0.5253772290809329,4.730422405826473,31.405156720954043,26.674734315127566,32.21336901004495,729
665833,"Cruz, Oneil","L","78.461901745",33.185598749703395,7.844961108299858,-6.5580756583533715,0.43400447427293076,6.588365295589291,34.62383562546545,28.035470329876162,26.575190643887904,447
701762,"Kurtz, Nick","L","78.253253807",37.67595808858364,12.745005359804926,4.380675820375332,0.5023400936037441,0.8431432251134063,23.80470535780893,22.961562132695523,29.28137768727944,641
701358,"Smith, Cam","R","77.496753514",32.95353184437409,10.800132481725116,-5.598803008611195,0.4714714714714715,3.259966440904308,33.12995903563426,29.86999259472995,31.185097030356424,666
669003,"Mitchell, Garrett","L","77.385724672",30.89312857039731,9.79195660405677,6.8086167346121504,0.6097560975609757,-1.101069912804971,28.53001167860099,29.63108159140596,29.014516196715455,533
695506,"Caglianone, Jac","L","77.365694756",30.503044645007826,10.05925791302939,-1.640678809521965,0.4435975609756096,7.373861628474852,29.718051072795788,22.344189444320936,29.955026379869434,656
666176,"Adell, Jo","R","77.332607822",35.441189132109955,9.718931861918515,-4.99187725950096,0.4826732673267328,1.0498729575933774,26.77755005756829,25.72767709997492,27.090483799333875,808
575929,"Contreras, Willson","R","77.093346716",33.75451831755834,11.403288492458202,-8.191515859664365,0.5119402985074627,5.265832429233563,31.990903159055346,26.725070729821788,27.300485944029802,670
656941,"Schwarber, Kyle","L","77.064996938",29.39861878847619,14.635467488023517,-9.576946765357938,0.6754270696452037,15.157651502202304,35.21955789099035,20.061906388788056,25.202535533607364,761
695578,"Wood, James","L","76.856732203",39.08301029013167,11.689732837472796,0.7246412205622211,0.4322033898305085,4.254612178733775,35.05559862672723,30.800986447993463,27.52945609483228,708
641343,"Bauers, Jake","L","76.770000091",34.60049745396874,10.7657356922414,-1.3684376891560166,0.49727767695099806,-4.420260747668725,28.400681037391653,32.82094178506038,27.838723204125476,551
677594,"Rodríguez, Julio","R","76.631629393",31.191220279555225,8.358038570457646,-5.841429400935204,0.49517241379310345,12.913830761176317,33.77729141210838,20.86346065093205,29.774713286303818,725
695657,"Montgomery, Colson","L","76.322024344",33.674198515292595,13.145740527084879,-8.4937054341483,0.5176304654442877,4.6341661511657275,33.25281620463694,28.61865005347121,27.78349742812131,709
665489,"Guerrero Jr., Vladimir","R","76.269826616",28.425286825969515,1.2635370828361556,-3.485565210930277,0.31554878048780494,5.256853882238701,33.919687990660925,28.662834108422228,28.945420149161045,656
656305,"Chapman, Matt","R","76.1503758",25.5758686666583,3.7191265177600914,-1.772058893540003,0.4309090909090909,-1.0894829327451931,26.20540175997511,27.2948846927203,28.482295236550016,550
670541,"Alvarez, Yordan","L","76.125467889",36.51383426416187,8.070897557516666,-4.6397774343498295,0.4512372634643377,7.845392910961389,35.081010895040485,27.235617984079084,28.94401957965348,687
665487,"Tatis Jr., Fernando","R","76.038820868",29.11486830627291,7.076864964202546,2.586301246757443,0.5508982035928142,3.4191543461946967,30.0821047654603,26.662950419265616,29.42623733929791,668
663586,"Riley, Austin","R","75.787249361",31.704790702394348,11.488965801961296,-5.263644611579255,0.46059782608695643,6.721399611314887,35.67095176348423,28.949552152169346,28.85896094817153,736
682985,"Greene, Riley","L","75.684897923",44.09709725099889,15.576177563776731,-0.8042902689336217,0.4474034620505992,2.5161619512813833,33.310640864610356,30.794478913328962,24.541366638975628,751
804606,"Griffin, Konnor","R","75.645159126",32.719553521792356,9.543564098030679,-1.2605462699261585,0.44827586206896547,3.3328084222065195,32.64181908456092,29.309010662354403,30.510373218366098,435
682998,"Carroll, Corbin","L","75.527100913",26.12192488489354,10.723197596241087,1.2971730163988535,0.6594202898550725,3.543475753958185,33.93868662986517,30.39521087590699,31.00496821983469,690
669394,"Burger, Jake","R","75.450374667",25.843456844459574,9.379907744773417,-8.19135895672042,0.5955555555555557,10.129726684451944,32.49793773983696,22.368211055385025,31.291857354065765,675
682829,"De La Cruz, Elly","R","75.417185379",34.5622368924513,8.388058511702681,1.3906079701506944,0.5097001763668432,7.7571231760879735,36.78906645472167,29.0319432786337,29.219779393119964,567
696100,"Goodman, Hunter","R","75.402227887",24.469338128808516,14.540853387034467,-6.8098400003427235,0.6368794326241135,10.467449260876712,38.6753042717704,28.207855010893702,30.143692037686982,705
670042,"Raley, Luke","L","75.27058418",31.238686192993523,14.785828851338737,-3.3881403712582596,0.5937500000000001,3.2599381965367926,32.585313708622,29.325375512085213,28.334986564075113,512
669065,"Stowers, Kyle","L","75.255015057",33.0401995130243,14.850521677285705,-2.358195582258369,0.546644844517185,4.505277322659385,34.10391947670978,29.598642154050395,29.5893468329765,611
669127,"Langeliers, Shea","R","75.237868817",31.20389784388833,11.953736219046473,-2.4146311074399605,0.6190476190476194,6.269433317385305,34.824579507950176,28.555146190564876,30.940975261393383,651
808959,"Murakami, Munetaka","L","75.210006688",35.414869803861485,18.871285295153303,-1.7295299517052503,0.4444444444444444,4.808216231858588,33.650680270316535,28.842464038457944,27.49095288054861,477
545361,"Trout, Mike","R","75.100219529",35.63882644574199,7.236959187697023,-2.156244864040831,0.45026178010471196,-1.7874910514130076,26.096117762334895,27.8836088137479,24.505077669983027,573
680776,"Duran, Jarren","L","75.049571994",27.57844010525964,6.1501471813327075,-2.4974724580060883,0.4428152492668621,5.437898564782279,34.110816198446024,28.672917633663737,29.55326770828411,682
624585,"Soler, Jorge","R","74.997127841",34.1961617255666,11.849320825147139,-7.724148027002539,0.5295109612141653,1.5986153317288843,29.02810720657021,27.42949187484133,29.610517100940537,593
683146,"Baty, Brett","L","74.963480719",37.20310901532021,10.277891922273843,2.288109534964487,0.4698996655518395,1.3450466148978124,29.823424878255796,28.478378263357985,28.956419602899377,598
621566,"Olson, Matt","L","74.926249235",33.69255721573074,10.291860466631034,-2.6905147733702552,0.5169385194479295,5.835006362329274,36.34787726910238,30.5128709067731,29.863586325197964,797
686948,"Baldwin, Drake","L","74.909628762",34.1481055115735,12.199623188912755,4.215333540444175,0.454983922829582,1.388667417744158,29.248966220177067,27.860298802432908,28.511315653337185,622
663728,"Raleigh, Cal","R","74.901016167",34.56087069192844,17.584375223733137,-6.176481384916014,0.44794952681388,4.367635722187617,33.96328384532887,29.595648123141252,24.938061282554166,634
