"id","name","swings_competitive","percent_swings_competitive","contact","avg_bat_speed","hard_swing_rate","squared_up_per_bat_contact","squared_up_per_swing","blast_per_bat_contact","blast_per_swing","swing_length","swords","batter_run_value","whiffs","whiff_per_swing","batted_ball_events","batted_ball_event_per_swing"
691406,"Caminero, Junior",666,0.9110807113543091,529,"79.869797447",0.8843843843843843,0.30434782608695654,0.24174174174174173,0.2551984877126654,0.20270270270270271,"8.669528709",7,8.704747270386177,137,0.2057057057057057,291,0.4369369369369369
691023,"Walker, Jordan",729,0.9022277227722773,529,"79.15609941",0.8559670781893005,0.29111531190926276,0.2112482853223594,0.22306238185255198,0.16186556927297668,"8.316275583",17,8.306128402740015,200,0.27434842249657065,274,0.37585733882030176
665833,"Cruz, Oneil",447,0.9048582995951417,281,"78.461901745",0.7807606263982102,0.3416370106761566,0.21476510067114093,0.24555160142348753,0.15436241610738255,"7.622225302",7,0.4483385359937325,166,0.3713646532438479,137,0.30648769574944074
701762,"Kurtz, Nick",641,0.905367231638418,417,"78.253253807",0.8081123244929797,0.26618705035971224,0.1731669266770671,0.22062350119904076,0.1435257410296412,"7.748838549",17,-5.14681096868162,224,0.3494539781591264,177,0.27613104524180965
701358,"Smith, Cam",666,0.9024390243902439,482,"77.496753514",0.7627627627627627,0.26348547717842324,0.1906906906906907,0.17634854771784234,0.12762762762762764,"7.703752703",8,-23.98737402917086,184,0.27627627627627627,240,0.36036036036036034
669003,"Mitchell, Garrett",533,0.9080068143100511,352,"77.385724672",0.7842401500938084,0.3039772727272727,0.20075046904315197,0.21022727272727273,0.13883677298311445,"7.229286041",17,-7.6667405800309565,181,0.3395872420262664,176,0.3302063789868668
695506,"Caglianone, Jac",656,0.9023383768913342,476,"77.365694756",0.7621951219512193,0.29831932773109243,0.21646341463414634,0.226890756302521,0.16463414634146342,"7.905919771",11,-5.354702389784835,180,0.27439024390243905,228,0.3475609756097561
666176,"Adell, Jo",808,0.9038031319910514,618,"77.332607822",0.7116336633663365,0.23948220064724918,0.18316831683168316,0.15372168284789645,0.11757425742574257,"7.722093626",21,-18.345440372118258,190,0.23514851485148514,286,0.35396039603960394
575929,"Contreras, Willson",670,0.901749663526245,484,"77.093346716",0.719402985074627,0.2603305785123967,0.1880597014925373,0.17148760330578514,0.12388059701492538,"7.92869009",20,16.846653408879565,186,0.27761194029850744,236,0.3522388059701492
656941,"Schwarber, Kyle",761,0.9016587677725119,531,"77.064996938",0.7463863337713534,0.24105461393596986,0.16819973718791065,0.16760828625235405,0.11695137976346912,"7.48242343",35,5.513508184114103,230,0.30223390275952694,213,0.27989487516425754
695578,"Wood, James",708,0.8996188055908514,509,"76.856732203",0.6850282485875705,0.33988212180746563,0.2443502824858757,0.24165029469548133,0.17372881355932204,"7.41676209",39,1.0568836124260428,199,0.2810734463276836,249,0.3516949152542373
641343,"Bauers, Jake",551,0.90625,408,"76.770000091",0.7132486388384757,0.34558823529411764,0.2558983666061706,0.21568627450980393,0.15970961887477314,"7.670482178",19,-2.662926007131441,143,0.2595281306715064,213,0.38656987295825773
677594,"Rodríguez, Julio",725,0.9051186017478152,539,"76.631629393",0.6744827586206896,0.26716141001855287,0.1986206896551724,0.17810760667903525,0.13241379310344828,"7.789282855",10,-12.14116390397344,186,0.25655172413793104,264,0.3641379310344828
695657,"Montgomery, Colson",709,0.9008894536213469,455,"76.322024344",0.6699576868829339,0.25054945054945055,0.1607898448519041,0.16043956043956045,0.10296191819464035,"7.915049252",22,-10.979142417046019,254,0.35825105782792666,221,0.31170662905500707
665489,"Guerrero Jr., Vladimir",656,0.9060773480662984,536,"76.269826616",0.6265243902439024,0.30597014925373134,0.25,0.19962686567164178,0.16310975609756098,"7.559931387",7,-22.985511845156633,120,0.18292682926829268,304,0.4634146341463415
656305,"Chapman, Matt",550,0.9090909090909091,425,"76.1503758",0.6127272727272727,0.2164705882352941,0.16727272727272727,0.12941176470588237,0.1,"7.370998182",11,-14.164602621265166,125,0.22727272727272727,199,0.3618181818181818
670541,"Alvarez, Yordan",687,0.914780292942743,560,"76.125467889",0.6157205240174671,0.32142857142857145,0.26200873362445415,0.22321428571428573,0.1819505094614265,"7.632189418",5,13.879412389985415,127,0.1848617176128093,284,0.413391557496361
665487,"Tatis Jr., Fernando",668,0.9014844804318488,494,"76.038820868",0.6347305389221556,0.3684210526315789,0.27245508982035926,0.23684210526315788,0.1751497005988024,"7.3276675",21,-9.813430741482797,174,0.26047904191616766,295,0.4416167664670659
663586,"Riley, Austin",736,0.9064039408866995,507,"75.787249361",0.5869565217391304,0.2859960552268245,0.19701086956521738,0.16173570019723865,0.11141304347826086,"7.579777568",18,-28.164360943473927,229,0.3111413043478261,237,0.3220108695652174
682985,"Greene, Riley",751,0.9048192771084337,532,"75.684897923",0.5912117177097204,0.29887218045112784,0.21171770972037285,0.17669172932330826,0.12516644474034622,"7.259483981",12,-8.059537513023546,219,0.29161118508655126,241,0.3209054593874834
804606,"Griffin, Konnor",435,0.9024896265560166,308,"75.645159126",0.5747126436781607,0.2532467532467532,0.1793103448275862,0.1461038961038961,0.10344827586206896,"7.69317246",10,-7.359161775912583,127,0.29195402298850576,150,0.3448275862068966
